time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-11-06 16:08:30.656 UTC, ,125,3162229,1056,16264,112, ,4, ,9, , , , , , , , , ,4,4, , , ,2,2,6, ,2,2, , , , , , , , , , , , , ,1961,2, ,1246, , , , , ,37,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509984450289,3145728, , , ,2,0, , , ,1, , , ,3, , , , ,2,1, , , , , , ,6144,3, , , , , , , , , , ,24150304,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, ,6, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 16:09:05.805 UTC, ,125,3162117,1056,16264, , ,4, ,15, , , , , , , , , ,4,4, , , ,2,2,6, ,1, , , , , , , , , , , , , , ,1961,2, ,1246, , , , , ,37,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509984450289,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,25513512,-1, , , , , , ,24, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,3, ,10, ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 16:13:48.781 UTC, ,125,3159165,1056,13232,80, ,3, ,23,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,23,10, , , , , , , , , , , , , ,3219,3, ,2631, , , , , ,31,31, , , , , ,1,47, , , , , , , , , , , , , , , , , , , , , , , , ,1509984828335,3145728, , , ,18,0, , , ,3, , , ,3, , , , ,18,1,2048,1, , , , ,122880,30, , , , , , , , , , ,24073664,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 16:14:48.791 UTC, ,125,3162173,1056,16208,112, ,4, ,11,1,0.09, , , , , , , ,4,4, , , ,2,2,6, ,2, , , , , , , , , , , , , , ,3219,3, ,2631, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509984828335,3145728, , , ,2,0, , , , , , , ,3, , , , ,2,1, , , , , , ,4096,2, , , , , , , , , , ,25436872,-1, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,3, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 16:15:48.801 UTC, ,125,3162173,1056,16208,112, ,4, , , , , , , , , , , ,4,4, , , ,2,2,6, , , , , , , , , , , , , , , , ,3219,3, ,2631, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509984828335,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,25436872,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 16:16:48.823 UTC, ,125,3162173,1056,16208,112, ,4, ,12, , , , , , , , , ,4,4, , , ,2,2,6, ,1, , , , , , , , , , , , , , ,3219,3, ,2631, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509984828335,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,25436872,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,5, ,8, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 16:17:48.848 UTC, ,125,3162173,1056,16208,112, ,4, ,4, , , , , , , , , ,4,4, , , ,2,2,6, , , , , , , , , , , , , , , , ,3219,3, ,2631, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509984828335,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,26118528,-1, , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 16:18:48.871 UTC, ,125,3162173,1056,16208,112, ,4, ,16, , , , , , , , , ,4,4, , , ,2,2,6, ,1, , , , , , , , , , , , , , ,3219,3, ,2631, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509984828335,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,26118528,-1, , , , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,9, ,22, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 16:19:48.882 UTC, ,125,3162173,1056,16208,112, ,4, ,36, , , , , , , , , ,4,4, , , ,2,2,6, ,3, , , , , , , , , , , , , , ,3219,3, ,2631, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509984828335,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,26118528,-1, , , , , , ,100, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,8, ,24, ,54, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 16:20:13.208 UTC, ,125,3162061,1056,16208, , ,4, ,6, , , , , , , , , ,4,4, , , ,2,2,6, , , , , , , , , , , , , , , , ,3219,3, ,2631, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509984828335,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,26118528,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
